run_id	group	n	mean	p10	p50	p90	sum_notional	wmean_markout	markout_cost
flow_sym_size_thrP95_f07__20251221_1507	bid|sv<-thr	15	0.0466667	0	0	0.22	2926.23	0.0498391	145.841
flow_sym_size_thrP95_f07__20251221_1507	bid|sv>+thr	9	0.0777778	-0.22	0	0.48	1201.9	-0.0343679	-41.3066
flow_sym_size_thrP95_f07__20251221_1537	ask|sv>+thr	33	-0.0727273	-0.8	0	0.5	6439.53	-0.0718417	-462.627
flow_sym_size_thrP95_f07__20251221_1537	ask|sv<-thr	16	-0.30625	-0.55	0	0.4	2653.56	-0.135772	-360.278
flow_sym_size_thrP95_f07__20251221_1537	bid|sv<-thr	28	0.141071	-0.39	0	0.33	5647.52	0.146168	825.487
flow_sym_size_thrP95_f07__20251221_1537	bid|sv>+thr	22	0.231818	-0.39	0	0.77	3268.45	0.116334	380.233
flow_sym_size_thrP95_f07__20251221_1607	ask|sv>+thr	53	-0.0235849	-0.8	0	0.5	10495	-0.0210937	-221.378
flow_sym_size_thrP95_f07__20251221_1607	ask|sv<-thr	27	-0.062963	-0.31	0	0.62	3444.7	0.032164	110.795
flow_sym_size_thrP95_f07__20251221_1607	bid|sv<-thr	50	0.028	-0.51	0	0.4	10020.3	0.0233543	234.017
flow_sym_size_thrP95_f07__20251221_1607	bid|sv>+thr	34	0.264706	-0.37	0	0.8	5516.61	0.220477	1216.28
flow_sym_size_thrP95_f07__20251221_1637	ask|sv>+thr	63	0.0134921	-0.76	0	0.5	12954.1	0.01419	183.819
flow_sym_size_thrP95_f07__20251221_1637	ask|sv<-thr	38	-0.0552632	-0.49	0	0.59	5061	-0.0426832	-216.02
flow_sym_size_thrP95_f07__20251221_1637	bid|sv<-thr	67	0.019403	-0.5	0	0.4	13590.9	0.0156908	213.253
flow_sym_size_thrP95_f07__20251221_1637	bid|sv>+thr	43	0.222093	-0.38	0	0.8	6639.84	0.22829	1515.81
flow_sym_size_thrP95_f07__20251221_1707	ask|sv>+thr	85	0.0411765	-0.4	0	0.5	17203.5	0.0430519	740.644
flow_sym_size_thrP95_f07__20251221_1707	ask|sv<-thr	74	-0.0912162	-0.87	0	0.6	9550.21	-0.0687376	-656.459
flow_sym_size_thrP95_f07__20251221_1707	bid|sv<-thr	98	0.0372449	-0.6	0	0.6	19075.8	0.00286135	54.5826
flow_sym_size_thrP95_f07__20251221_1707	bid|sv>+thr	53	0.0584906	-0.5	0	0.7	7740.94	0.0927166	717.714
